,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
112,2021-08-12 04:00:29+00:00,https://twitter.com/SyazleenAzila/status/1425668488597704707,SyazleenAzila,Twitter for Android,"Petaling, Kuala Lumpur",@hansrahmn @nurulatieqa Ya Allah aku mula2 ok lg dgn umobile tp sebulan sekali dia jd line hp xde. Nk call semua xboleh. Dh la parents aku pun umobile. Risau pape jd xboleh nk call. Tu yg tukar line celcom. Setakat 5 bulan ni alhamdulillah tiada mslh lg. Aku pckg fmly.,0,0,0,1
113,2021-08-10 16:15:34+00:00,https://twitter.com/zariqhafizin/status/1425128700018786304,zariqhafizin,Twitter for iPhone,,"@Celcom hi, nak tanya pasal modem wifi rumah. Kenapa tidak ada line? Sedangkan tiada sebarang penyekatan. Dah restart 5 kali ni ni",0,0,0,0
114,2021-07-31 16:07:11+00:00,https://twitter.com/iamsnkamaliah/status/1421502711707488256,iamsnkamaliah,Twitter for iPhone,Malaysia,"Hmmmm dari pukul berapa lagi dok on/off jer data mobile ni. Mengharapkan ‘laju’ line internet. 

@Celcom dengan line problems berpisah tiada. Bab potong/barred line cepat dan pantas.",0,0,0,0
115,2021-07-30 03:08:54+00:00,https://twitter.com/Celcom/status/1420944464764301313,Celcom,Khoros CX,Malaysia,@fqrsyarubyjane Okay kalau ikutkan . Coverage okay tiada masalah. Awak nak saya tolong untuk reset line tak?,0,0,0,1
116,2021-07-30 00:07:04+00:00,https://twitter.com/aliffshanusi/status/1420898704785952768,aliffshanusi,Twitter Web App,Malaysia,"@JazeeraJulaili aku tengah cuba home wifi oleh celcom, sini line fiber kena deal dengan management. tiada fiber luar atau time. 500 untuk 139 tu dah padu sanagt dah. boleh live tido dah.",2,0,1,0
117,2021-07-28 14:01:14+00:00,https://twitter.com/xhitamxputih/status/1420383851948302347,xhitamxputih,Twitter for iPhone,"Johor Bahru, Johor",Tiada yang lebib babi daripada line digi dan celcom. Mampus pi! Sial betul,0,0,0,0
118,2021-07-14 15:25:43+00:00,https://twitter.com/imanmanaf5/status/1415331682744299526,imanmanaf5,Twitter for Android,"Negri Sembilan, Malaysia",@Celcom Dari bulan 4 saya buat benda yang sama sampai hari ini masih sama tiada perkembangan. Kenapa sebelum sebelum ini tiada masalah seperti ini tetapi semenjak celcom berkolaborasi dengan digi terus line down teruk. Awak nak saya buat benda yang sama sampai bila?,1,0,0,0
119,2021-07-14 11:51:34+00:00,https://twitter.com/aqlirfxn/status/1415277792481071105,aqlirfxn,Twitter for iPhone,,celcom dan tiada line berpisah tiada,0,0,0,0
120,2021-07-12 17:58:17+00:00,https://twitter.com/amirulam24/status/1414645302057848832,amirulam24,Twitter for Android,,@Celcom please la celcom. Tiba2 xde line. Ganti rugi pon tiada. Kerajaan dah bagi duit bnyk dah. Still teruk.,0,0,0,0
121,2021-07-12 17:50:14+00:00,https://twitter.com/alfredodidx/status/1414643277639262222,alfredodidx,Twitter for iPhone,,ingatkan saya satu orang ja tiada line celcom haha,0,0,0,0
122,2021-07-07 01:37:01+00:00,https://twitter.com/sarihihihi/status/1412586420850487298,sarihihihi,Twitter for Android,Malaysia,wehh tengok la ni line Celcom😭 4 hari suda tiada. kalau ada pun 3G lepastu sekejap ja hilang balik. https://t.co/YBBqFZcZT2,0,0,0,1
123,2021-07-02 08:12:32+00:00,https://twitter.com/keyrullll/status/1410874013002342406,keyrullll,Twitter for Android,Malaysia,Dah tiga hari tiada line nie @digitelco . Tau lah dah gabung dengan celcom tapi janganlah buang aku https://t.co/ETGMIVzrav,0,0,0,1
124,2021-06-29 11:41:18+00:00,https://twitter.com/iztiisml/status/1409839386917629957,iztiisml,Twitter for iPhone,Shah Alam,Semoga @Celcom &amp; @unifi dapat menjalani hidup kalian dengan indah walaupun line anda sesungguhnya sangat mendukacitakan. Saya dan rakyat Malaysia doakan semoga kalian teruskan hidup seperti tiada apa yang berlaku dan hanya hidup dalam fantasi sahaja. Terima kasih.,1,2,0,1
125,2021-06-20 02:48:36+00:00,https://twitter.com/kakmah1/status/1406443841305993220,kakmah1,Twitter for Android,"Kota Bharu, Kelantan","#celcom Di kg banggol Lepah langsung tiada line
Hari ke 2
Kenapa #celcom",0,0,0,0
126,2021-06-19 04:43:37+00:00,https://twitter.com/mijalqarls/status/1406110395689934853,mijalqarls,Twitter for Android,𝓗𝓲𝓼 𝓹𝓻𝓮𝓽𝓽𝓲𝓮𝓼𝓽 ,@AkasyahFarihin Celcom ngan Umobile kedekut and line slow dia berpisah tiada boleh buat syarikat sama sama😭😭,0,0,0,1
127,2021-06-17 16:40:17+00:00,https://twitter.com/wannajlin/status/1405565974158315520,wannajlin,Twitter for Android,Kajang,@Celcom tlg ajar aku mcm mana nak setel masalah yang mcm hape ni. Potong line tp tiada payment due. Ini ke level telco paling hebat di rantau asia? Bab Potong line punya la laju efektif. https://t.co/ZRN1dfYwwe,0,0,0,1
128,2021-06-17 04:48:59+00:00,https://twitter.com/muhdfairuzzzz/status/1405386972852482052,muhdfairuzzzz,Twitter for iPhone,Malaysia,@Celcom Saya tengok tweet ni dengan line 3G sebab bila saya set kepada 4G tiada line. Please fix this,0,0,0,0
129,2021-06-17 02:59:47+00:00,https://twitter.com/Celcom/status/1405359491680325634,Celcom,Khoros CX,Malaysia,@mdfqq Hi @mdfqq Tiada masalah dengan care line kami buat masa ni. Boleh cuba dari masa ke semasa ya. -Nora,0,0,0,1
130,2021-06-10 11:51:21+00:00,https://twitter.com/bgtn7fnni/status/1402956548188434432,bgtn7fnni,Twitter for iPhone,"Sabah, Malaysia",@95zwithluv @_winterm00n Kene tunggu tiada line kt umobile bru tukar sim celcom,0,0,0,1
131,2021-06-09 14:24:47+00:00,https://twitter.com/noi_adin/status/1402632774675156995,noi_adin,Twitter for Android,Ipoh. Sepang. Next?,@Celcom dan line cam haram berpisah tiada.,1,0,1,0
132,2021-06-08 14:29:25+00:00,https://twitter.com/pae_iza/status/1402271550942941187,pae_iza,Twitter Web App,,"@Celcom dah seminggu WFH line masih slow, sangat slow, tetap slow..whyyyy???? I'm lucky sebab tiada online meeting lagi, but for next coming days I'm not sure. Hope by then your service return.",0,0,0,1
133,2021-06-06 07:24:05+00:00,https://twitter.com/PahlawanPemalu/status/1401439738758848513,PahlawanPemalu,Canva,"Dungun, Terengganu","""KAWASAN SY TIADA LINE DIGI..MCM MANA NI?..""
""KAWASAN SY TIADA LINE CELCOM NI..MCM MANA?""
.
Jgn risau, dgn Master Mobile sentiasa menyokong coverage di kawasan anda..
.
Line SLOW? Bil Telefon MAHAL?
.
PM SY
https://t.co/UjsykH9fKc https://t.co/ZX1FNwcLWm",0,0,0,0
134,2021-06-05 03:40:21+00:00,https://twitter.com/syfqsmsdn/status/1401021044308078593,syfqsmsdn,Twitter for Android,,Harap lepas cucukymyaz nanti line celcom dekat klang ni tiada gangguan lah ya.,0,0,0,2
135,2021-05-31 07:11:30+00:00,https://twitter.com/HarrezHussin/status/1399262243745714176,HarrezHussin,Twitter for Android,"Kota Kinabalu, Sabah",@Celcom @Celcom mau tengok pun susah... Buffer teruk... Lepas tu.. no internet connection.. bila DM.. di suruh cabut masuk sim card.. reboot HP.. clear cache.. tp tetap juga tiada line..,0,0,0,0
136,2021-05-28 14:57:35+00:00,https://twitter.com/atuywhibley/status/1398292374506283014,atuywhibley,Twitter for iPhone,"Kudat, Sabah.",Beli simkad digi baru sebab @Celcom kan anjing tiada line internet. Pastu lupa beli topup. Lupa ba pulak pakai prepaid. Sama jgk nda dpt main game. Esok la beli kredit hahahahaha,0,0,0,1
137,2021-05-28 13:31:21+00:00,https://twitter.com/cemihaikal/status/1398270671428493316,cemihaikal,Twitter for iPhone,Malaysia,"@Celcom habisla pkp pulak kan nk mereput pun line celcom mcm pundek... takperlu pesan untuk restart device, keluarkan simcard, buka tutup flight mode. Takperlu, buat la seribu kali pun tkjadi apa. Jadi amar , sera , amer , suraya ka sapa ka jangan suruh buat benda yg tiada effect",0,0,0,0
